CUI,SNIP,NOMBRE DE LA INVERSIÓN,ESTADO DE LA INVERSIÓN,TIPO DE INVERSIÓN,UNIDAD EJECUTORA DE INVERSIONES (UEI),COSTO DE INVERSIÓN VIABLE / APROBADO,COSTO DE INVERSIÓN ACTUALIZADO,COSTO TOTAL DE LA INVERSIÓN ACTUALIZADO,¿TIENE EXPEDIENTE TÉCNICO O DOCUMENTO EQUIVALENTE?,AVANCE FINANCIERO ACUMULADO,DEVENGADO ACUMULADO AL 2024,¿SE ENCUENTRA PROGRAMADO EN EL PMI?,PIM 2024 EN AVANCE FINANCIERO,PIM 2024,PIM 2023,PIM 2022
2251248,2251248,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION INICIAL DE LA INSTITUCION EDUCATIVA N 170, EN LA LOCALIDAD DE PUEBLO LIBRE, DISTRITO DE HUANCAVELICA, PROVINCIA Y DEPARTAMENTO DE HUANCAVELICA",ACTIVO,PROYECTO DE INVERSION,GERENCIA REGIONAL DE INFRAESTRUCTURA,"1,604,089.00","2,414,652.47","2,414,652.47",SI   ,100 %,"2,414,526.22",NO,0.00,No info. disponible,No info. disponible,"30,300.00"
2251547,2251547,INSTALACION DEL PABELLON ADMINISTRATIVO DE LA FACULTAD DE ODONTOLOGIA EN LA UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,ACTIVO,PROYECTO DE INVERSION,UNMSM - OFICINA GENERAL DE INFRAESTRUCTURA UNIVERSITARIA,"8,989,714.00","14,491,677.25","14,491,677.25",SI   ,97.2 %,"14,080,749.13",SI   ,"259,715.00","259,715.00","380,344.00","428,921.00"
2251619,2251619,MEJORAMIENTO DEL SERVICIO DE EDUCACION DE LA I.E. N° 30187 HIPÓLITO UNANUE DE NIVEL PRIMARIA DEL CENTRO POBLADO DE CEDRO DEL DISTRITO DE ANCO - PROVINCIA DE CHURCAMPA - DEPARTAMENTO DE HUANCAVELICA,ACTIVO,PROYECTO DE INVERSION,UEI GERENCIA SUB REGIONAL DE CHURCAMPA,"2,297,288.15","3,107,407.18","3,107,407.18",SI   ,96.2 %,"2,988,411.07",SI   ,"118,996.00","118,996.00","2,035,856.00","1,495,247.00"
2251640,2251640,MEJORAMIENTO Y REHABILITACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA CIUDAD UNIVERSITARIA DE LA UNMSM,ACTIVO,PROYECTO DE INVERSION,UNMSM - OFICINA GENERAL DE INFRAESTRUCTURA UNIVERSITARIA,"6,007,724.00","11,285,880.07","11,285,880.07",SI   ,70.1 %,"7,915,435.71",SI   ,"80,901.00","80,901.00","18,836.00","326,743.00"
2253131,2253131,"INSTALACION E IMPLEMENTACION DEL LOCAL MULTIUSO PARA LOS DIEZ DISTRITOS EN LA CIUDAD DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",ACTIVO,PROYECTO DE INVERSION,,"3,322,152.00","3,322,151.63","3,322,151.63",SI   ,95.8 %,"3,183,554.49",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2253841,2253841,"INSTALACION DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO DE LA LOCALIDAD DE NUEVO PARAÍSO, DISTRITO DE NUEVA REQUENA, PROVINCIA DE CORONEL PORTILLO, REGIÓN UCAYALI",ACTIVO,PROYECTO DE INVERSION,DIRECCION REGIONAL DE AGRICULTURA,"5,646,771.00","6,223,695.61","6,348,169.52",SI   ,30.3 %,"1,925,929.7",SI   ,"4,505,567.00","4,505,567.00","1,798,413.00","6,884,851.00"
2254686,2254686,"CONSTRUCCION DE VEREDAS Y TRATAMIENTO ECOLOGICO VEHICULAR DE LA AV. 1 DE JUNIO DEL C.P SAN JUAN DE CACAZU, DISTRITO DE VILLA RICA - OXAPAMPA - PASCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE VILLA RICA,"576,209.53","422,796.55","422,796.55",SI   ,87.6 %,"370,258.08",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2255147,2255147,"INSTALACION DEL SERVICIO DE PROTECCION EN EL PJE 4 Y CALLE A DEL AA. HH. SOL NACIENTE DEL EJE ZONAL TUPAC AMARU, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"456,461.61","633,796.13","633,796.13",SI   ,26.6 %,"168,456.94",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2255187,2255187,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE LOS CASERÍOS DE SARAUZ - EL TRIUNFO Y ROSAPATA, DISTRITO DE LA LIBERTAD DE PALLAN - PROVINCIA DE CELENDIN - DEPARTAMENTO DE CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE LA LIBERTAD DE PALLAN,"3,096,353.00","6,792,150.1","6,792,150.1",SI   ,85.6 %,"5,811,205.57",SI   ,"1,593,031.00","1,593,031.00","628,704.00","6,142,390.00"
2255532,2255532,"INSTALACION DEL SERVICIO DE PROTECCION EN EL PASAJE 1, DEL AA.HH. 18 DE ENERO DEL EJE ZONAL TAHUANTINSUYO III SECTOR, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"130,730.03","292,071.46","292,071.46",SI   ,43 %,"125,645.6",NO,0.00,No info. disponible,No info. disponible,"2,000.00"
2255596,2255596,"AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS MUNICIPALES DE LA MUNICIPALIDAD DISTRITAL DE SHANAO, DISTRITO DE SHANAO - LAMAS - SAN MARTIN",ACTIVO,PROYECTO DE INVERSION,,"245,065.17","249,941.97","249,941.97",SI   ,23.1 %,"57,648.00",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2255793,2255793,CONSTRUCCION Y EQUIPAMIENTO DEL NUEVO HOSPITAL DE IQUITOS CESAR GARAYAR GARCIAS / PROVINCIA DE MAYNAS,ACTIVO,PROYECTO DE INVERSION,UEI - GERENCIA REGIONAL DE INFRAESTRUCTURA,"207,219,538.00","480,195,818.77","482,857,720.98",SI   ,79.1 %,"382,052,435.56",SI   ,"38,397,312.00","38,397,312.00","3,041,445.00","130,155,007.00"
2256259,2256259,"CREACION DEL LOCAL MUNICIPAL EN EL CENTRO POBLADO DE CCACCE, PROVINCIA DE ANDAHUAYLAS - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,"809,446.51","1,074,324.26","1,074,324.26",SI   ,33.7 %,"361,861.7",SI   ,0.00,No info. disponible,"10,000.00",No info. disponible
2257058,2257058,"INSTALACION DE LOCAL DE USOS MULTIPLES EN LA LOCALIDAD DE SION, DISTRITO DE CAMPANILLA - MARISCAL CACERES - SAN MARTIN",ACTIVO,PROYECTO DE INVERSION,,"181,350.00","181,300.00","181,300.00",SI   ,88.2 %,"159,853.92",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2257463,2257463,"MEJORAMIENTO DEL SERVICIO DE SALUD DEL PUESTO DE SALUD DE CASHIRIARI - MICRORRED KAMISEA, DISTRITO DE MEGANTONI - LA CONVENCION - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE MEGANTONI,"7,250,525.00","15,076,552.5","15,373,902.14",SI   ,72.3 %,"11,115,706.21",SI   ,"3,414,016.00","3,414,016.00","12,937,295.00","15,055,230.00"
2260038,2260038,"MEJORAMIENTO DE CAMINO VECINAL CRUCE CARRIZAL-PLAYA AZUL-VALLE HERMOSO, DISTRITO DE JEPELACIO - MOYOBAMBA - SAN MARTIN",CERRADO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE JEPELACIO,"299,900.00","299,900.00","299,900.00",SI   ,24.8 %,"74,443.00",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2260061,2260061,"AMPLIACIÓN Y MEJORAMIENTO DE LA PRESTACIÓN DE SERVICIOS EDUCATIVOS DEL NIVEL INICIAL EN LAS I.E. 38256, I.E. 38266, I.E. 39013 CLARA CASTILLO DE GAYOZZO, I.E. 38604 DE CANGARI, EN LOS DISTRITOS DE HUANTA E IGUAIN, PROVINCIA DE HUANTA-AYACUCHO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL AYACUCHO,"8,676,087.00","17,613,489.96","17,613,489.96",SI   ,99.7 %,"17,563,340.57",SI   ,"227,505.00","227,505.00","3,164,348.00","7,558,139.00"
2260603,2260603,"INSTALACION DEL SISTEMA DE UTILIZACION EN 20KV Y AMPLIACION DEL SISTEMA DE DISTRIBUCION SECUNDARIA CON REDES ELECTRICAS SUBTERRANEAS EN LA UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION, DISTRITO DE HUACHO-HUAURA-LIMA.",ACTIVO,PROYECTO DE INVERSION,UNIDAD DE INFRAESTRUCTURA Y DESARROLO FÍSICO,"3,111,133.00","4,249,121.04","4,249,121.04",SI   ,97.9 %,"4,159,200.38",SI   ,0.00,No info. disponible,No info. disponible,No info. disponible
2260724,2260724,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL CENTRO POBLADO RIO BERTHA, DISTRITO DE RIO NEGRO – SATIPO – JUNÍN",ACTIVO,PROYECTO DE INVERSION,UEI DEL PROGRAMA NACIONAL DE SANEAMIENTO RURAL,"3,400,114.00","1,985,123.79","1,985,123.79",SI   ,5.5 %,"109,620.16",SI   ,"15,281.00","15,281.00","18,770.00","53,970.00"
2260867,2260867,"MEJORAMIENTO DEL SISTEMA DE EVACUACIÓN, TRATAMIENTO Y DISPOSICIÓN FINAL DE LAS AGUAS SERVIDAS DE LAS CIUDADES DE SULLANA Y BELLAVISTA, PROVINCIA DE SULLANA - PIURA",ACTIVO,PROYECTO DE INVERSION,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,"212,066,820.00","442,403,210.49","446,725,748.66",SI   ,67.5 %,"301,335,801.82",SI   ,"1,416,946.00","1,416,946.00","19,704,060.00","62,598,834.00"
2261101,2261101,"MEJORAMIENTO Y AMPLIACIÓN DE LA RED DE CONDUCCIÓN DE AGUA, CELMÍN HACIA EL C.P. DE COCHAMARCA DISTRITO DE VICCO, PROVINCIA DE PASCO - PASCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE VICCO,"9,264,284.00","3,919,489.21","3,919,489.21",SI   ,47.1 %,"1,845,712.44",SI   ,"220,000.00","220,000.00","45,112.00",No info. disponible
2261459,2261459,"MEJORAMIENTO DE LA OFERTA DE SERVICIOS EDUCATIVOS EN LA INSTITUCIÓN EDUCATIVA INICIAL N 896 DE LA COMUNIDAD DE MECLLAYPATA, DISTRITO DE CHALLABAMBA - PAUCARTAMBO - CUSCO",ACTIVO,PROYECTO DE INVERSION,,"1,210,480.00","947,246.83","947,246.83",SI   ,92.2 %,"873,724.34",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2262075,2262075,"AMPLIACION DE LOS SERVICIOS DE SEGURIDAD CIUDADANA EN LA CIUDAD DE CARAZ, PROVINCIA DE HUAYLAS - ANCASH",ACTIVO,PROYECTO DE INVERSION,,"249,638.08","265,435.42","265,435.42",SI   ,98.6 %,"261,799.73",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2264229,2264229,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AV. GRAU DESDE LA AV. CENTENARIO HASTA EL INGRESO A LA ZONA DE ZARZUELA PARTE BAJA, ENTRE LOS DISTRITOS DE SANTIAGO Y CUSCO, PROVINCIA DE CUSCO - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI GERENCIA DE INFRAESTRUCTURA MUNICIPALIDAD PROVINCIAL DEL CUSCO,"9,940,969.00","11,578,653.76","11,578,653.76",SI   ,69.7 %,"8,070,757.53",SI   ,"69,000.00","69,000.00",0.00,No info. disponible
2264523,2264523,"MEJORAMIENTO DE LOSA DEPORTIVA MULTIUSOS EN LA URB. ROSITA DEL DISTRITO DE ABANCAY, PROVINCIA DE ABANCAY - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ABANCAY,"290,835.00","385,056.46","385,056.46",SI   ,98.8 %,"380,410.42",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2264655,2264655,"MEJORAMIENTO DE LOSA DEPORTIVA MULTIUSOS EN LA URB. BELLAVISTA ALTA DEL DISTRITO DE ABANCAY, PROVINCIA DE ABANCAY - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ABANCAY,"294,356.00","408,089.79","408,089.79",SI   ,98.7 %,"402,666.56",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2264836,2264836,"CREACION DE LOS SERVICIOS DE AGUA Y SANEAMIENTO EN EL CENTRO POBLADO SUSANGATE Y LA LOCALIDAD DE HUAYLULO, DISTRITO DE CHIMBAN - CHOTA - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CHIMBAN,"4,039,310.00","5,881,456.88","5,881,456.88",SI   ,83.4 %,"4,907,154.13",SI   ,"974,302.00","974,302.00","1,890,128.00","1,865,128.00"
2265161,2265161,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE SANEAMIENTO BASICO EN LA COMUNIDAD CAMPESINA DE LAMBRAMPATA, DISTRITO DE CHALLABAMBA - PAUCARTAMBO - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CHALLABAMBA,"890,383.54","890,383.54","890,383.54",SI   ,81.8 %,"728,440.18",NO,0.00,No info. disponible,"70,336.00","15,000.00"
2265352,2265352,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO SANTA ELENA , DISTRITO DE SOCOTA - CUTERVO - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DEL PROGRAMA NACIONAL DE SANEAMIENTO RURAL,"3,002,278.00","2,505,524.33","2,505,524.33",SI   ,1.7 %,"42,141.53",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2265673,2265673,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN PRIMARIA DE LA I.E. N° 36820 CHILCAPUQUIO DEL C.P. UNIÓN AMBO, DISTRITO DE ACORIA - HUANCAVELICA - HUANCAVELICA",ACTIVO,PROYECTO DE INVERSION,,"569,981.59","586,898.95","586,898.95",SI   ,87.4 %,"512,913.96",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2266488,2266488,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR, PEATONAL Y EVACUACION DE AGUAS PLUVIALES EN LOS BARRIOS DE CHALHUANI, RAYAMPAMPA, ANANSAYOCC, ALIANZA, 1RO DE MAYO, DISTRITO DE OCOBAMBA - CHINCHEROS - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE OCOBAMBA - APURIMAC,"9,913,443.00","11,010,528.3","11,010,528.3",SI   ,100 %,"11,009,032.48",NO,0.00,No info. disponible,No info. disponible,"2,796,891.00"
2266582,2266582,"MEJORAMIENTO DE LA CARRETERA TRAMO: QUISTOCOCHA-ZUNGAROCOCHA-LLANCHAMA, DISTRITO DE SAN JUAN BAUTISTA - MAYNAS - LORETO",ACTIVO,PROYECTO DE INVERSION,DIRECCIÓN EJECUTIVA - PROVIAS DESCENTRALIZADO,"56,753,842.00","109,557,107.45","111,125,303.45",SI   ,66.7 %,"74,088,908.6",SI   ,"29,780,579.00","29,780,579.00","29,825,952.00","1,896,719.00"
2266746,2266746,"INSTALACION DEL SERVICIO DE PROTECCION EN LOS PASAJES G, I, H, Y CALLE APOLINARIO OLAYA DEL AA.HH. JOSE GABRIEL CONDORCANQUI - EJE ZONAL TUPAC AMARU, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"91,384.1","228,391.59","228,391.59",SI   ,46.7 %,"106,684.53",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2267254,2267254,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SANEAMIENTO RURAL EN LA COMUNIDAD DE HUAÑACAYA, DISTRITO DE ZEPITA - CHUCUITO - PUNO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE ZEPITA,"208,849.61","222,541.26","222,541.26",SI   ,65.1 %,"144,968.4",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2267881,2267881,"MEJORAMIENTO DEL SISTEMA DE RIEGO MENOR LLALLIMAYO A NIVEL DE LATERALES DEL, DISTRITO DE LLALLI - MELGAR - PUNO",ACTIVO,PROYECTO DE INVERSION,PROYECTO ESPECIAL BINACIONAL LAGO TITICACA,"3,191,842.00","4,966,148.39","4,966,148.39",SI   ,69.6 %,"3,456,976.4",SI   ,"1,509,172.00","1,509,172.00","620,563.00","4,342,595.00"
2268632,2268632,"REHABILITACION Y MEJORAMIENTO DEL CAMINO VECINAL EMP. HV-105 (CHANCAHUAYCCO) EMP.HV-644-ROSARIO, DISTRITO DE ROSARIO - ACOBAMBA - HUANCAVELICA",ACTIVO,PROYECTO DE INVERSION,GERENCIA DE INTERVENCIONES ESPECIALES - PROVIAS DESCENTRALIZADO,"5,164,287.00","12,817,238.5","12,817,238.5",SI   ,76.5 %,"9,800,515.01",SI   ,"2,157,204.00","2,157,204.00","4,963,195.00","6,417,037.00"
2269014,2269014,"MEJORAMIENTO DEL ACCESO PEATONAL EN LAS ZONAS ALTAS DE LAS MZ A, B, C Y F DEL AA. HH. 18 DE ENERO DE LA 3RA ZONA DEL EJE ZONAL TAHUANTINSUYO , DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"107,380.67","245,371.79","245,371.79",SI   ,94.9 %,"232,832.81",NO,0.00,No info. disponible,No info. disponible,"124,397.00"
2269727,2269727,"MEJORAMIENTO DEL ACCESO PEATONAL EN LOS PJES 25 DE DICIEMBRE, 08 DE DICIEMBRE Y EL PJE 1 DEL AAHH 31 DE DICIEMBRE EJE ZONAL TUPAC AMARU, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"220,951.5","342,854.51","342,854.51",SI   ,26.7 %,"91,386.66",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2269761,2269761,"MEJORAMIENTO DEL ACCESO PEATONAL EN LAS ZONAS ALTAS DE LOS PJES DOMINGO DE RAMOS , SEÑOR DE LOS MILAGROS , SEÑOR DEL CALVARIO, VIRGEN DE COCHARCAS Y SAN PEDRO EN EL AAHH DOMINGO DE RAMOS DE LA III ZONA DEL EJE ZONAL TAHUANTINSUYO, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"163,111.51","321,366.45","321,366.45",SI   ,32.3 %,"103,685.49",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2269805,2269805,"MEJORAMIENTO DE LA PLATAFORMA DEPORTIVA Y PARQUE INFANTIL DEL BARRIO SAN PEDRO, DISTRITO DE SAN PABLO, PROVINCIA DE SAN PABLO - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE SAN PABLO,"463,114.14","300,173.5","300,173.5",SI   ,33.1 %,"99,375.00",NO,"200,228.00","200,228.00","200,228.00","200,228.00"
2271023,2271023,"REHABILITACION, MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL CAMINO VECINAL NUEVA YANACONA - QUERAPATA, DISTRITO DE CHINCHERO - URUBAMBA - CUSCO",ACTIVO,PROYECTO DE INVERSION,,"1,287,978.00","1,392,428.96","1,392,428.96",SI   ,42.8 %,"596,297.79",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2273568,2273568,"CREACION DE LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE JAMALCA, DISTRITO DE JAMALCA - UTCUBAMBA - AMAZONAS",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL AMAZONAS - SEDE CENTRAL,"542,443.87","4,260,951.92","4,260,951.92",SI   ,41.2 %,"1,754,085.16",SI   ,0.00,0.00,"1,478,214.00","3,813,342.00"
2274161,2274161,"AMPLIACIÓN Y MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN SECUNDARIA DE LA I.E. JOSÉ ANTONIO NAVALA HUACHACA DEL CENTRO POBLADO DE IQUICHA, DISTRITO DE UCHURACCAY, PROVINCIA HUANTA - REGIÓN AYACUCHO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL AYACUCHO,"3,844,480.00","6,570,033.98","6,570,033.98",SI   ,86.2 %,"5,662,400.21",NO,0.00,No info. disponible,No info. disponible,"453,641.00"
2274381,2274381,"CREACION DEL CENTRO DE SERVICIOS - TAMBO EN EL CENTRO POBLADO EL ALAMO, DISTRITO YAGUAS, PROVINCIA PUTUMAYO, DEPARTAMENTO LORETO",ACTIVO,PROYECTO DE INVERSION,UNIDAD DE PLATAFORMAS DE SERVICIOS,"1,172,120.96","1,947,197.73","1,947,197.73",SI   ,0 %,0.00,SI   ,0.00,No info. disponible,No info. disponible,No info. disponible
2274619,2274619,"CREACION DEL CENTRO DE SERVICIOS - TAMBO EN EL CENTRO POBLADO SANTA MERCEDES, DISTRITO ROSA PANDURO, PROVINCIA PUTUMAYO, DEPARTAMENTO LORETO",ACTIVO,PROYECTO DE INVERSION,UNIDAD DE PLATAFORMAS DE SERVICIOS,"1,153,167.49","1,821,007.19","1,821,007.19",SI   ,0 %,0.00,SI   ,0.00,No info. disponible,No info. disponible,No info. disponible
2274894,2274894,"MEJORAMIENTO DEL SERVICIO DE COMERCIALIZACION DEL GRAN MERCADO DE BELEN - IQUITOS, PROVINCIA DE MAYNAS, DEPARTAMENTO DE LORETO",ACTIVO,PROYECTO DE INVERSION,PROGRAMA NACIONAL DE DIVERSIFICACION PRODUCTIVA,"83,174,688.00","177,954,128.8","177,954,128.8",SI   ,76.2 %,"135,529,317.82",SI   ,"3,880,114.00","3,880,114.00","858,653.00",No info. disponible
2275258,2275258,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA QUINTA CUADRA A LA NOVENA CUADRA DE LA CALLE SINCHI ROCA, DISTRITO Y, PROVINCIA DE ABANCAY - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ABANCAY,"628,503.1","654,549.42","654,549.42",SI   ,95.1 %,"622,590.04",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2275830,2275830,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO CON ARRASTRE HIDRAULICO EN LAS LOCALIDADES DE BUENOS AIRES, EL CORRAL, LA LAGUNA, LA SUCCHA Y QUILAGAN, DISTRITO DE QUEROCOTILLO - CUTERVO - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE QUEROCOTILLO,"7,626,120.00","8,172,130.99","8,172,130.99",SI   ,97.9 %,"7,997,468.53",NO,0.00,No info. disponible,"174,662.00","617,587.00"
2276554,2276554,"CREACION DE SISTEMAS FAMILIARES DE AGUAS RESIDUALES SANITARIAS EN LOCALIDADES RURALES DE CONTUMAZA,DISTRITO DE CONTUMAZA, PROVINCIA DE CONTUMAZA - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,"16,731,084.00","20,251,976.97","20,251,976.97",SI   ,72.1 %,"14,606,712.87",SI   ,"91,834.00","91,834.00","38,164.00","6,547,387.00"
2277219,2277219,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO EN LA COMUNIDAD DE CONDE KJEQRA, DISTRITO LANGUI, PROVINCIA DE CANAS - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE LANGUI,"5,167,372.00","4,565,458.05","4,565,458.05",SI   ,91.4 %,"4,170,757.14",NO,0.00,No info. disponible,No info. disponible,"369,634.00"
2277399,2277399,"RECUPERACION Y MEJORAMIENTO DE LOS SERVICIOS DE SALUD, EN EL PUESTO DE SALUD MIRAVE, DISTRITO DE ILABAYA - JORGE BASADRE - TACNA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE ILABAYA,"468,197.1","572,908.8","572,908.8",SI   ,90.3 %,"517,464.77",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2277550,2277550,"CREACION DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO EN EL SECTOR DE HUAYLLABAMBA DE LA COMUNIDAD DE CCOTAÑA, DISTRITO DE TUPAC AMARU - CANAS - CUSCO",ACTIVO,PROYECTO DE INVERSION,,"376,929.84","483,748.03","483,748.03",SI   ,76.7 %,"371,202.2",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2278001,2278001,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO RURAL DE LOS CASERIOS DE EL TINGO Y PULULO, DISTRITO DE SOROCHUCO, PROVINCIA DE CELENDIN - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE CELENDIN,"5,627,891.00","6,499,154.08","6,499,154.08",SI   ,86.3 %,"5,609,447.28",SI   ,"40,900.00","40,900.00","710,470.00","894,136.00"
2278183,2278183,"MEJORAMIENTO DEL CAMINO VECINAL CHAMACA - LIMAMAYO - CCACHU (L-23.28 KM), DISTRITO DE CHAMACA, PROVINCIA DE CHUMBIVILCAS - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS,"5,705,978.00","10,711,860.37","10,711,860.37",SI   ,36.8 %,"3,937,919.27",SI   ,0.00,No info. disponible,"97,714.00","6,197,371.00"
2278392,2278392,"INSTALACION DEL SERVICIO DE AGUA PARA RIEGO DE LOS SECTORES DE SHOCLLA Y PACHACOTO, DE LA COMUNIDAD CAMPESINA DE CATAC, DISTRITO DE CATAC - RECUAY - ANCASH",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL ANCASH,"5,778,227.23","5,986,475.39","5,986,475.39",SI   ,1.8 %,"105,885.27",NO,0.00,No info. disponible,No info. disponible,"992,451.00"
